School Name,School Code,District Name,Number of test takers,Average Score Read,Average Score Math,Average Score Write,Number >= 1500,Percent >= 1500
FAME Public Charter,1100170109835,Alameda County Office of Education,17,503.0,546.0,505.0,9.0,52.94%
Envision Academy for Arts & Technology,1100170112607,Alameda County Office of Education,71,397.0,387.0,395.0,5.0,7.04%
Aspire California College Preparatory Academy,1100170118489,Alameda County Office of Education,0,,,,,null%
Alameda Science and Technology Institute,1611190106401,Alameda Unified,36,562.0,590.0,555.0,29.0,80.56%
Nea Community Learning Center,1611190119222,Alameda Unified,6,,,,,null%
Alameda High,1611190130229,Alameda Unified,325,543.0,573.0,543.0,229.0,70.46%
Alameda Community Learning Center,1611190130609,Alameda Unified,20,575.0,593.0,581.0,16.0,80%
Alternatives in Action,1611190130625,Alameda Unified,23,352.0,350.0,343.0,1.0,4.35%
Encinal High,1611190132878,Alameda Unified,132,483.0,504.0,476.0,56.0,42.42%
Island High (Continuation),1611190134304,Alameda Unified,2,,,,,null%
Albany High,1611270130450,Albany City Unified,178,572.0,599.0,574.0,136.0,76.4%
REALM Charter High,1611430122697,Berkeley Unified,36,384.0,360.0,386.0,2.0,5.56%
Berkeley High,1611430131177,Berkeley Unified,450,583.0,580.0,574.0,335.0,74.44%
Berkeley Technology Academy,1611430134924,Berkeley Unified,4,,,,,null%
Castro Valley High,1611500132225,Castro Valley Unified,438,527.0,556.0,524.0,273.0,62.33%
Emery Secondary,1611680132746,Emery Unified,23,420.0,433.0,441.0,6.0,26.09%
American High,1611760130062,Fremont Unified,309,573.0,608.0,592.0,243.0,78.64%
Robertson High (Continuation),1611760130138,Fremont Unified,1,,,,,null%
Vista Alternative,1611760130435,Fremont Unified,0,,,,,null%
Circle of Independent Learning,1611760130534,Fremont Unified,5,,,,,null%
Irvington High,1611760134270,Fremont Unified,364,590.0,634.0,606.0,309.0,84.89%
John F. Kennedy High,1611760134452,Fremont Unified,179,485.0,509.0,485.0,77.0,43.02%
Mission San Jose High,1611760135244,Fremont Unified,453,653.0,699.0,671.0,421.0,92.94%
Washington High,1611760138693,Fremont Unified,226,546.0,587.0,549.0,164.0,72.57%
Leadership Public Schools - Hayward,1611920108670,Hayward Unified,97,439.0,490.0,443.0,27.0,27.84%
Impact Academy of Arts & Technology,1611920113902,Hayward Unified,99,435.0,451.0,444.0,25.0,25.25%
Hayward High,1611920133629,Hayward Unified,162,430.0,440.0,433.0,30.0,18.52%
Mt. Eden High,1611920135319,Hayward Unified,214,451.0,471.0,449.0,69.0,32.24%
Tennyson High,1611920138339,Hayward Unified,114,424.0,425.0,427.0,17.0,14.91%
Vineyard Alternative,1612000130393,Livermore Valley Joint Unified,2,,,,,null%
Granada High,1612000133397,Livermore Valley Joint Unified,230,544.0,567.0,530.0,158.0,68.7%
Livermore High,1612000134536,Livermore Valley Joint Unified,191,543.0,554.0,536.0,134.0,70.16%
Newark Memorial High,1612340130054,Newark Unified,234,486.0,498.0,487.0,105.0,44.87%
Crossroads High (Alternative),1612340130484,Newark Unified,0,,,,,null%
Decoto School for Independent Study,1612420126763,New Haven Unified,1,,,,,null%
James Logan High,1612420134668,New Haven Unified,452,499.0,522.0,494.0,229.0,50.66%
Oakland Unity High,1612590100065,Oakland Unified,49,384.0,396.0,399.0,5.0,10.2%
MetWest High,1612590100701,Oakland Unified,34,418.0,387.0,385.0,5.0,14.71%
Bay Area Technology,1612590106906,Oakland Unified,21,401.0,428.0,390.0,3.0,14.29%
Lighthouse Community Charter High,1612590108944,Oakland Unified,53,432.0,483.0,447.0,10.0,18.87%
McClymonds High,1612590110189,Oakland Unified,44,355.0,350.0,353.0,0.0,0%
American Indian Public High,1612590111856,Oakland Unified,30,505.0,603.0,514.0,22.0,73.33%
Coliseum College Prep Academy,1612590112797,Oakland Unified,38,373.0,374.0,383.0,2.0,5.26%
Oakland Charter High,1612590114868,Oakland Unified,56,520.0,583.0,524.0,38.0,67.86%
ARISE High,1612590115238,Oakland Unified,39,359.0,367.0,369.0,1.0,2.56%
Civicorps Corpsmember Academy,1612590115386,Oakland Unified,0,,,,,null%
Oakland International High,1612590115667,Oakland Unified,19,308.0,352.0,327.0,0.0,0%
Aspire Golden State College Preparatory Academy,1612590118224,Oakland Unified,57,376.0,371.0,383.0,3.0,5.26%
Gateway to College at Laney College,1612590119859,Oakland Unified,0,,,,,null%
Castlemont High,1612590125161,Oakland Unified,69,355.0,348.0,351.0,2.0,2.9%
